date,temp_mean,precip_sum,wind_max,station
2025-03,8.68,144.9,22.77,CHAMBERY CHALLES LES EAUX
2025-04,12.88,123.6,18.3,CHAMBERY CHALLES LES EAUX
2025-05,15.57,134.9,14.55,CHAMBERY CHALLES LES EAUX
2025-06,23.14,74.7,14.74,CHAMBERY CHALLES LES EAUX
2025-07,21.84,105.0,17.39,CHAMBERY CHALLES LES EAUX
2025-08,22.98,129.6,15.41,CHAMBERY CHALLES LES EAUX
2025-09,16.47,120.0,13.59,CHAMBERY CHALLES LES EAUX
2025-10,12.34,209.2,24.32,CHAMBERY CHALLES LES EAUX
2025-11,7.2,163.2,18.31,CHAMBERY CHALLES LES EAUX
2025-12,5.14,36.4,15.76,CHAMBERY CHALLES LES EAUX
2026-01,3.32,131.3,17.42,CHAMBERY CHALLES LES EAUX
2026-02,7.65,190.3,15.86,CHAMBERY CHALLES LES EAUX
2026-03,8.24,77.3,24.27,CHAMBERY CHALLES LES EAUX
2026-04,14.95,33.1,16.28,CHAMBERY CHALLES LES EAUX
2026-05,16.91,188.8,16.79,CHAMBERY CHALLES LES EAUX
2026-06,23.39,67.2,15.66,CHAMBERY CHALLES LES EAUX
2017-12,5.12,19.2,14.87,BELLEGARDE (AIN)
2018-01,5.59,283.5,19.52,BELLEGARDE (AIN)
2018-02,1.0,52.5,21.39,BELLEGARDE (AIN)
2018-03,5.64,173.0,25.57,BELLEGARDE (AIN)
2018-04,13.65,61.9,18.09,BELLEGARDE (AIN)
2018-05,16.08,128.4,18.67,BELLEGARDE (AIN)
2018-06,19.7,90.4,19.62,BELLEGARDE (AIN)
2018-07,22.96,68.1,16.18,BELLEGARDE (AIN)
2018-08,21.57,91.5,16.78,BELLEGARDE (AIN)
2018-09,18.49,26.7,21.65,BELLEGARDE (AIN)
2018-10,13.27,67.4,14.0,BELLEGARDE (AIN)
2018-11,7.2,109.3,11.11,BELLEGARDE (AIN)
2018-12,4.82,159.0,15.28,BELLEGARDE (AIN)
2019-01,1.76,117.4,17.71,BELLEGARDE (AIN)
2019-02,5.23,38.6,19.6,BELLEGARDE (AIN)
2019-03,7.72,123.5,19.97,BELLEGARDE (AIN)
2019-04,10.23,109.5,21.32,BELLEGARDE (AIN)
2019-05,12.34,96.0,29.6,BELLEGARDE (AIN)
2019-06,20.36,174.9,21.13,BELLEGARDE (AIN)
2019-07,22.58,48.3,19.86,BELLEGARDE (AIN)
2019-08,20.95,94.6,17.28,BELLEGARDE (AIN)
2019-09,17.18,46.1,19.59,BELLEGARDE (AIN)
2019-10,13.26,147.3,13.22,BELLEGARDE (AIN)
2019-11,6.19,178.0,13.85,BELLEGARDE (AIN)
2019-12,5.18,178.5,15.38,BELLEGARDE (AIN)
2020-01,4.22,67.3,18.78,BELLEGARDE (AIN)
2020-02,6.37,134.2,17.29,BELLEGARDE (AIN)
